iter	Logloss
0	0.5688446867
1	0.4856242662
2	0.4354112953
3	0.4039527064
4	0.3838716505
5	0.3690744516
6	0.3597114819
7	0.3522312555
8	0.3468862919
9	0.3428466048
10	0.3399552025
11	0.3366992498
12	0.3347684843
13	0.3329624568
14	0.3316939784
15	0.3306939223
16	0.3299086744
17	0.3290210763
18	0.3283559734
19	0.3278488365
20	0.3273879941
21	0.3269752737
22	0.3264604642
23	0.3261085068
24	0.3257432779
25	0.3255083896
26	0.3251858338
27	0.3249926797
28	0.3247508354
29	0.3245851329
30	0.3243968117
31	0.3242715859
32	0.3240086184
33	0.3238898203
34	0.3237759758
35	0.3236426757
36	0.323496406
37	0.3233871061
38	0.3232941036
39	0.3232003928
40	0.3231491352
41	0.3230342077
42	0.3229781065
43	0.3229223832
44	0.3228355138
45	0.3227810871
46	0.3227094359
47	0.3226290126
48	0.322566018
49	0.3225077757
50	0.3224563342
51	0.3224163561
52	0.3223696049
53	0.3223188062
54	0.3222723663
55	0.3222417396
56	0.3222015652
57	0.3221601972
58	0.3220929223
59	0.3220419789
60	0.322032743
61	0.3219828356
62	0.3219531608
63	0.3219227506
64	0.3218618783
65	0.3218296823
66	0.3218032957
67	0.3217737757
68	0.3217488122
69	0.3217133764
70	0.3216960362
71	0.3216746297
72	0.3216324254
73	0.3216134516
74	0.3215978299
75	0.3215813108
76	0.3215541339
77	0.3215353428
78	0.3214966394
79	0.3214820461
80	0.3214638513
81	0.3214482338
82	0.3214312695
83	0.3214061812
84	0.3213845516
85	0.3213687879
86	0.3213577441
87	0.3213152181
88	0.3212924603
89	0.3212655514
90	0.3212455758
91	0.3212338796
92	0.3212074186
93	0.3211881538
94	0.3211714551
95	0.3211310231
96	0.3211149358
97	0.3210825975
98	0.321062476
99	0.3210444421
100	0.3210291146
101	0.3210149215
102	0.3209996212
103	0.3209883087
104	0.3209723207
105	0.3209600201
106	0.3209397052
107	0.3209108046
108	0.320894531
109	0.3208714274
110	0.3208568809
111	0.3208397303
112	0.3208244237
113	0.3208153002
114	0.3208039898
115	0.3207812855
116	0.3207666156
117	0.3207543294
118	0.3207310437
119	0.3207056976
120	0.3206940646
121	0.3206835298
122	0.3206731373
123	0.3206639139
124	0.3206435419
125	0.320631255
126	0.3206202761
127	0.3206032417
128	0.3205884593
129	0.3205722428
130	0.3205584677
131	0.3205483691
132	0.3205308434
133	0.3205208733
134	0.3205003299
135	0.3204869887
136	0.3204779272
137	0.3204638038
138	0.3204465483
139	0.3204384689
140	0.3204241527
141	0.3204118109
142	0.3204011606
143	0.3203919609
144	0.3203769822
145	0.3203596319
146	0.320352473
147	0.3203404864
148	0.3203319256
149	0.3203214668
150	0.3203060764
151	0.3202981573
152	0.3202842449
153	0.3202766115
154	0.3202653603
155	0.3202454574
156	0.3202306822
157	0.3202172909
158	0.3202028493
159	0.3201829748
160	0.3201700124
161	0.3201589203
162	0.3201314884
163	0.32012215
164	0.3201149806
165	0.3201040965
166	0.3200914497
167	0.3200806797
168	0.3200712791
169	0.3200649556
170	0.3200523088
171	0.3200438517
172	0.3200263294
173	0.3200163861
174	0.3200069612
175	0.3199946565
176	0.3199860665
177	0.3199739738
178	0.3199603125
179	0.3199486281
180	0.3199387001
181	0.3199280624
182	0.3199161456
183	0.3198951856
184	0.3198788943
185	0.319855524
186	0.3198403687
187	0.3198317033
188	0.3198253428
189	0.31981103
190	0.3197943797
191	0.3197889206
192	0.3197823808
193	0.3197707292
194	0.3197635134
195	0.3197594448
196	0.3197465861
197	0.3197248221
198	0.3197132569
199	0.319703126
200	0.3196971633
201	0.3196849959
202	0.3196774881
203	0.3196655311
204	0.3196521753
205	0.3196416079
206	0.3196313896
207	0.3196263466
208	0.3196214646
209	0.3196106121
210	0.3195955487
211	0.3195882395
212	0.3195763469
213	0.3195631326
214	0.3195564771
215	0.3195469068
216	0.3195387684
217	0.3195288072
218	0.3195188503
219	0.3195064967
220	0.319499392
221	0.3194945873
222	0.3194828443
223	0.3194762974
224	0.3194650174
225	0.319457755
226	0.3194465657
227	0.3194359995
228	0.3194305042
229	0.3194205617
230	0.319407504
231	0.3194008118
232	0.3193888275
233	0.3193797576
234	0.3193709884
235	0.3193596858
236	0.3193477622
237	0.3193401258
238	0.3193311816
239	0.3193195346
240	0.3193156001
241	0.319302927
242	0.3192941379
243	0.3192849811
244	0.3192741844
245	0.3192638694
246	0.3192568518
247	0.3192464388
248	0.3192317969
249	0.3192176146
250	0.3192085162
251	0.3192004283
252	0.3191908279
253	0.3191761447
254	0.3191660522
255	0.3191561339
