iter	Passed	Remaining
0	177	177280
1	214	107120
2	251	83673
3	303	75515
4	340	67739
5	376	62398
6	414	58790
7	451	55934
8	488	53754
9	522	51683
10	556	50078
11	592	48777
12	628	47687
13	668	47088
14	704	46232
15	737	45335
16	771	44596
17	807	44056
18	842	43503
19	876	42955
20	909	42412
21	943	41927
22	979	41586
23	1015	41278
24	1061	41402
25	1115	41785
26	1168	42119
27	1224	42500
28	1305	43716
29	1361	44034
30	1413	44198
31	1462	44238
32	1513	44337
33	1564	44456
34	1619	44661
35	1676	44896
36	1724	44875
37	1773	44909
38	1820	44852
39	1858	44609
40	1902	44507
41	1949	44476
42	1992	44348
43	2034	44194
44	2086	44278
45	2144	44466
46	2192	44464
47	2242	44471
48	2290	44447
49	2343	44517
50	2393	44541
51	2448	44642
52	2497	44618
53	2546	44609
54	2590	44513
55	2632	44374
56	2675	44266
57	2717	44130
58	2756	43970
59	2793	43767
60	2822	43441
61	2874	43490
62	2931	43605
63	2989	43717
64	3059	44009
65	3117	44113
66	3168	44123
67	3213	44040
68	3255	43927
69	3302	43873
70	3347	43800
71	3389	43693
72	3448	43790
73	3491	43687
74	3532	43562
75	3570	43403
76	3611	43294
77	3653	43183
78	3698	43116
79	3744	43063
80	3793	43040
81	3838	42972
82	3881	42883
83	3926	42822
84	3977	42818
85	4025	42784
86	4078	42800
87	4127	42774
88	4171	42699
89	4217	42647
90	4256	42515
91	4290	42346
92	4324	42171
93	4359	42019
94	4392	41841
95	4428	41703
96	4463	41550
97	4500	41424
98	4537	41294
99	4582	41244
100	4623	41151
101	4664	41062
102	4704	40970
103	4752	40945
104	4815	41047
105	4891	41258
106	4984	41601
107	5058	41778
108	5112	41787
109	5172	41847
110	5229	41881
111	5278	41847
112	5321	41769
113	5360	41660
114	5398	41542
115	5435	41422
116	5471	41291
117	5510	41187
118	5552	41107
119	5593	41021
120	5652	41063
121	5697	41005
122	5741	40934
123	5783	40855
124	5823	40764
125	5864	40680
126	5904	40588
127	5947	40513
128	5985	40414
129	6025	40321
130	6068	40256
131	6117	40226
132	6162	40173
133	6202	40084
134	6247	40029
135	6300	40023
136	6345	39969
137	6393	39936
138	6449	39951
139	6485	39839
140	6532	39796
141	6575	39729
142	6631	39740
143	6710	39890
144	6775	39953
145	6825	39923
146	6863	39829
147	6903	39744
148	6942	39652
149	6992	39622
150	7048	39629
151	7093	39575
152	7138	39519
153	7175	39418
154	7216	39340
155	7256	39258
156	7294	39165
157	7328	39055
158	7361	38936
159	7396	38832
160	7430	38723
161	7475	38668
162	7509	38560
163	7548	38479
164	7587	38395
165	7626	38316
166	7669	38253
167	7705	38162
168	7746	38091
169	7782	37996
170	7817	37900
171	7851	37795
172	7884	37692
173	7916	37581
174	7949	37476
175	7985	37387
176	8017	37277
177	8053	37190
178	8104	37173
179	8143	37099
180	8180	37017
181	8216	36928
182	8256	36859
183	8296	36792
184	8333	36712
185	8368	36624
186	8408	36558
187	8442	36463
188	8478	36382
189	8513	36293
190	8548	36208
191	8588	36142
192	8657	36201
193	8704	36163
194	8750	36123
195	8786	36043
196	8830	35993
197	8869	35927
198	8909	35860
199	8942	35771
200	8979	35695
201	9021	35640
202	9058	35563
203	9100	35509
204	9137	35436
205	9176	35369
206	9219	35319
207	9260	35259
208	9305	35218
209	9350	35175
210	9394	35129
211	9434	35067
212	9478	35021
213	9521	34969
214	9561	34910
215	9603	34855
216	9644	34801
217	9685	34743
218	9727	34690
219	9765	34621
220	9804	34559
221	9843	34495
222	9886	34447
223	9923	34378
224	9961	34310
225	9999	34246
226	10038	34183
227	10078	34126
228	10120	34073
229	10161	34019
230	10206	33978
231	10245	33915
232	10287	33866
233	10333	33825
234	10373	33770
235	10418	33727
236	10459	33674
237	10498	33613
238	10540	33560
239	10583	33513
240	10622	33453
241	10659	33386
242	10703	33344
243	10748	33303
244	10790	33252
245	10834	33209
246	10879	33165
